season,rank,name,won,runs_scored,deliveries_faced,wickets_lost,dots,singles,doubles,threes,fours,sixers,runs_allowed,deliveries_bowled,wickets_taken,dots_allowed,singles_allowed,doubles_allowed,threes_allowed,fours_allowed,sixers_allowed
2020,1,Mumbai Indians,9,2293,1575,64,538,611,91,4,193,118,2089,1638,83,617,594,137,3,197,70
2020,2,Delhi Capitals,8,2186,1669,87,543,712,117,7,192,73,2173,1637,84,548,670,109,13,194,78
2020,3,Sunrisers Hyderabad,7,2107,1614,73,554,630,140,11,189,67,2038,1642,89,589,664,117,5,165,76
2020,4,Royal Challengers Bangalore,7,2031,1616,72,543,675,136,8,165,64,2081,1625,77,579,655,111,4,164,87
2020,5,Kolkata Knight Riders,7,2123,1668,96,642,606,102,2,197,86,2118,1616,68,556,638,127,4,188,76
2020,6,Kings XI Punjab,6,2242,1650,72,557,657,130,7,178,98,2228,1622,80,580,610,105,7,198,98
2020,7,Chennai Super Kings,6,2095,1647,67,594,661,107,5,187,75,2187,1618,75,516,684,131,4,194,71
2020,8,Rajasthan Royals,6,2197,1624,90,575,629,119,3,169,103,2360,1665,65,561,666,105,7,170,128
2019,1,Mumbai Indians,9,2284,1647,80,588,637,88,5,206,102,2183,1636,87,608,619,82,2,190,104
2019,2,Chennai Super Kings,9,1941,1631,73,646,624,91,1,170,72,1935,1610,90,627,618,107,6,167,66
2019,3,Delhi Capitals,9,2120,1611,90,564,646,90,3,208,74,2141,1658,98,591,685,82,2,201,78
2019,4,Sunrisers Hyderabad,6,2193,1595,74,485,666,148,10,186,74,2112,1666,81,619,648,102,2,179,89
2019,5,Kolkata Knight Riders,6,2352,1624,78,637,559,64,4,194,141,2343,1598,56,512,622,119,3,223,96
2019,6,Kings XI Punjab,6,2326,1660,74,571,651,108,1,196,110,2388,1658,76,498,693,128,7,216,91
2019,7,Rajasthan Royals,5,2103,1562,76,531,599,136,3,205,66,2147,1521,72,502,588,115,7,175,99
2019,8,Royal Challengers Bangalore,5,2129,1564,84,526,629,94,3,186,93,2199,1547,69,591,538,84,1,200,109
2018,1,Sunrisers Hyderabad,9,2131,1634,79,547,680,118,3,198,68,2130,1661,86,603,669,93,2,185,88
2018,2,Chennai Super Kings,9,2388,1653,67,537,693,86,3,182,129,2335,1652,86,587,609,117,5,191,118
2018,3,Kolkata Knight Riders,8,2339,1622,88,602,576,84,1,225,115,2338,1580,86,529,622,84,2,199,122
2018,4,Rajasthan Royals,7,2133,1589,95,502,673,129,10,184,72,2112,1524,74,520,582,112,6,214,71
2018,5,Mumbai Indians,6,2255,1662,89,641,579,100,2,204,107,2180,1646,92,578,668,84,2,196,90
2018,6,Royal Challengers Bangalore,6,2240,1584,86,528,628,96,2,193,104,2241,1621,84,581,617,84,1,180,121
2018,7,Kings XI Punjab,6,2124,1573,93,547,631,88,4,170,104,2218,1595,84,491,680,108,6,197,84
2018,8,Delhi Capitals,5,2250,1545,75,498,630,81,4,186,115,2306,1583,80,513,643,100,5,180,120
2017,1,Mumbai Indians,10,2265,1633,85,549,637,94,9,196,104,2132,1631,85,560,662,114,5,183,75
2017,2,Rising Pune Supergiant,9,2096,1603,80,529,680,110,2,179,79,2071,1625,96,600,625,97,3,182,84
2017,3,Sunrisers Hyderabad,8,2141,1512,55,456,614,131,8,210,64,2038,1539,93,515,628,100,4,182,78
2017,4,Kolkata Knight Riders,8,2210,1562,75,491,648,96,3,217,81,2184,1603,85,559,608,98,4,219,81
2017,5,Kings XI Punjab,7,2099,1541,83,527,611,96,3,187,85,2138,1559,73,500,654,101,5,186,87
2017,6,Delhi Capitals,6,2131,1603,97,581,607,90,4,202,87,2137,1561,79,502,644,100,5,194,82
2017,7,Gujarat Lions,4,2309,1614,86,505,653,110,2,216,92,2382,1590,68,472,637,124,1,228,97
2017,8,Royal Challengers Bangalore,3,1760,1490,97,575,586,92,2,133,75,1929,1450,79,505,578,85,6,166,83
2016,1,Gujarat Lions,9,2014,1579,85,552,614,119,5,207,52,2205,1626,69,541,630,150,5,196,78
2016,2,Royal Challengers Bangalore,8,2529,1628,58,471,669,124,4,214,121,2213,1603,82,513,669,103,4,208,79
2016,3,Sunrisers Hyderabad,8,2038,1613,76,576,618,135,8,179,65,1994,1584,76,547,652,122,2,179,62
2016,4,Kolkata Knight Riders,8,2002,1511,68,466,664,104,4,186,62,2043,1576,86,586,578,115,6,178,83
2016,5,Mumbai Indians,7,2091,1613,84,625,597,85,6,184,93,2088,1597,68,536,636,128,7,180,75
2016,6,Delhi Capitals,7,1995,1590,77,561,632,122,2,178,65,2001,1566,77,540,627,113,7,191,59
2016,7,Rising Pune Supergiant,5,1962,1521,68,521,610,118,7,171,68,2005,1555,76,539,635,109,4,171,75
2016,8,Kings XI Punjab,4,2051,1617,91,544,644,152,5,190,54,2133,1565,73,514,621,119,6,206,69
2015,1,Chennai Super Kings,9,2123,1641,79,642,562,102,8,212,80,1996,1643,94,619,641,113,6,174,67
2015,2,Mumbai Indians,8,2237,1636,76,615,575,104,5,214,96,2262,1646,77,569,624,121,7,222,80
2015,3,Royal Challengers Bangalore,7,1706,1151,60,403,414,69,3,155,87,1831,1322,86,461,509,74,2,173,77
2015,4,Rajasthan Royals,7,1932,1425,69,464,564,126,6,175,64,1884,1417,63,540,477,110,9,181,72
2015,5,Kolkata Knight Riders,7,1939,1417,78,486,545,85,3,206,64,1964,1492,79,549,576,67,4,174,90
2015,6,Sunrisers Hyderabad,7,2117,1610,81,563,635,120,8,184,77,2018,1509,79,533,571,101,2,183,83
2015,7,Delhi Capitals,5,2061,1612,76,601,618,88,3,188,84,1878,1496,74,558,560,115,6,161,71
2015,8,Kings XI Punjab,3,1889,1582,103,603,605,105,8,144,79,2171,1549,70,548,560,98,8,210,91
