Team,Mat,Won,Lost,Tied,N/R,Net R/R,Runs scored,deliveries faced,SR,Runs allowed,deliveries bowled,OPSR,Season,playoffs
Rajasthan Royals,14,11,3,0,0,0.632,2245,1567,1.432673899,2153,1622,1.327373613,2008,1
Kings XI Punjab,14,10,4,0,0,0.509,2352,1559,1.508659397,2271,1595,1.423824451,2008,1
Chennai Super Kings,14,8,6,0,0,-0.192,2241,1586,1.412988651,2195,1519,1.445029625,2008,1
Delhi Capitals,14,7,6,0,1,0.342,2001,1400,1.429285714,2031,1480,1.372297297,2008,1
Mumbai Indians,14,7,7,0,0,0.57,2080,1495,1.391304348,2096,1617,1.296227582,2008,0
Kolkata Knight Riders,14,6,7,0,1,-0.147,1845,1456,1.26717033,1718,1330,1.291729323,2008,0
Royal Challengers Bangalore,14,4,10,0,0,-1.16,1983,1636,1.212102689,2205,1569,1.405353728,2008,0
Deccan Chargers,14,2,12,0,0,-0.467,2229,1620,1.375925926,2307,1587,1.4536862,2008,0
Delhi Capitals,14,10,4,0,0,0.311,1978,1532,1.291122715,1953,1576,1.239213198,2009,1
Chennai Super Kings,14,8,5,0,1,0.951,2086,1533,1.360730594,1855,1543,1.2022035,2009,1
Royal Challengers Bangalore,14,8,6,0,0,-0.191,1994,1656,1.20410628,2027,1640,1.23597561,2009,1
Deccan Chargers,14,7,7,0,0,0.203,2111,1636,1.290342298,2097,1669,1.256440983,2009,1
Kings XI Punjab,14,7,7,0,0,-0.483,1787,1508,1.185013263,1887,1491,1.265593561,2009,0
Rajasthan Royals,14,6,7,0,1,-0.352,1688,1519,1.111257406,1810,1547,1.170006464,2009,0
Mumbai Indians,14,5,8,0,1,0.297,1897,1538,1.233420026,1802,1522,1.183968463,2009,0
Kolkata Knight Riders,14,3,10,0,1,-0.789,1757,1493,1.176825184,1867,1427,1.308339173,2009,0
Mumbai Indians,14,10,4,0,0,1.084,2408,1662,1.448856799,2100,1656,1.268115942,2010,1
Deccan Chargers,14,8,6,0,0,-0.297,2188,1666,1.31332533,2254,1654,1.362756953,2010,1
Chennai Super Kings,14,7,7,0,0,0.274,2285,1627,1.404425323,2257,1661,1.358819988,2010,1
Royal Challengers Bangalore,14,7,7,0,0,0.219,2166,1564,1.384910486,2245,1665,1.348348348,2010,1
Delhi Capitals,14,7,7,0,0,0.021,2155,1654,1.302902056,2166,1667,1.299340132,2010,0
Kolkata Knight Riders,14,7,7,0,0,-0.341,2144,1638,1.308913309,2192,1605,1.365732087,2010,0
Rajasthan Royals,14,6,8,0,0,-0.514,2179,1624,1.341748768,2224,1558,1.427471117,2010,0
Kings XI Punjab,14,4,10,0,0,-0.478,2278,1658,1.373944511,2365,1627,1.453595575,2010,0
